,modularity_class,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0
3,2022-09-06 10:00,106.0,16.0,57.0,26.0,2.0,1.0,4.0,4.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0,17.0,9.0,3.0,24.0,0.0,20.0,1.0,1.0,23.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0
4,2022-09-06 11:00,327.0,132.0,55.0,44.0,8.0,8.0,8.0,0.0,0.0,38.0,3.0,3.0,1.0,2.0,1.0,46.0,0.0,8.0,13.0,27.0,1.0,20.0,25.0,28.0,58.0,0.0,39.0,65.0,2.0,10.0,2.0,2.0,0.0,1.0,0.0,11.0
5,2022-09-06 12:00,547.0,112.0,85.0,40.0,25.0,16.0,18.0,2.0,0.0,19.0,0.0,8.0,2.0,20.0,37.0,45.0,0.0,5.0,6.0,27.0,0.0,6.0,31.0,17.0,62.0,15.0,57.0,13.0,6.0,13.0,3.0,20.0,13.0,2.0,0.0,7.0
6,2022-09-06 13:00,498.0,58.0,96.0,83.0,25.0,30.0,44.0,58.0,0.0,4.0,0.0,0.0,0.0,23.0,7.0,44.0,0.0,5.0,5.0,14.0,1.0,11.0,26.0,57.0,47.0,8.0,55.0,7.0,3.0,5.0,1.0,6.0,0.0,1.0,0.0,4.0
7,2022-09-06 14:00,310.0,19.0,93.0,43.0,15.0,24.0,30.0,32.0,1.0,41.0,2.0,1.0,11.0,3.0,9.0,46.0,4.0,1.0,1.0,4.0,21.0,7.0,29.0,27.0,65.0,18.0,25.0,12.0,1.0,2.0,6.0,2.0,1.0,4.0,0.0,9.0
8,2022-09-06 15:00,238.0,34.0,90.0,52.0,30.0,29.0,23.0,21.0,0.0,43.0,2.0,0.0,6.0,7.0,1.0,23.0,1.0,4.0,10.0,8.0,4.0,10.0,22.0,18.0,32.0,10.0,12.0,5.0,2.0,0.0,8.0,3.0,0.0,0.0,0.0,2.0
9,2022-09-06 16:00,238.0,14.0,52.0,30.0,16.0,17.0,13.0,5.0,32.0,51.0,0.0,0.0,5.0,3.0,4.0,21.0,2.0,0.0,2.0,3.0,1.0,17.0,4.0,16.0,45.0,8.0,34.0,11.0,4.0,2.0,14.0,3.0,0.0,3.0,1.0,4.0
10,2022-09-06 17:00,242.0,6.0,64.0,36.0,25.0,8.0,23.0,5.0,6.0,35.0,0.0,0.0,9.0,3.0,1.0,6.0,0.0,4.0,7.0,0.0,0.0,3.0,5.0,8.0,71.0,8.0,22.0,3.0,2.0,5.0,11.0,2.0,0.0,1.0,1.0,2.0
11,2022-09-06 18:00,272.0,8.0,104.0,33.0,34.0,8.0,17.0,4.0,1.0,7.0,2.0,1.0,5.0,2.0,0.0,8.0,0.0,0.0,5.0,4.0,0.0,1.0,12.0,8.0,39.0,7.0,19.0,1.0,3.0,4.0,20.0,0.0,0.0,2.0,1.0,2.0
12,2022-09-06 19:00,187.0,19.0,47.0,41.0,19.0,9.0,9.0,47.0,4.0,20.0,1.0,2.0,2.0,4.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,6.0,5.0,9.0,25.0,3.0,19.0,2.0,5.0,5.0,18.0,1.0,0.0,1.0,1.0,3.0
13,2022-09-06 20:00,128.0,11.0,52.0,46.0,15.0,7.0,18.0,24.0,0.0,32.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,3.0,3.0,16.0,0.0,0.0,14.0,8.0,17.0,4.0,13.0,0.0,5.0,1.0,27.0,1.0,0.0,0.0,0.0,5.0
14,2022-09-06 21:00,115.0,12.0,44.0,58.0,16.0,1.0,16.0,28.0,3.0,29.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,1.0,12.0,11.0,25.0,3.0,5.0,2.0,7.0,1.0,22.0,0.0,0.0,1.0,0.0,0.0
15,2022-09-06 22:00,79.0,3.0,19.0,23.0,21.0,2.0,11.0,25.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,5.0,6.0,3.0,11.0,3.0,18.0,4.0,0.0,1.0,18.0,1.0,0.0,0.0,1.0,3.0
16,2022-09-06 23:00,94.0,4.0,18.0,9.0,4.0,3.0,4.0,32.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,15.0,2.0,4.0,3.0,6.0,0.0,36.0,1.0,0.0,0.0,0.0,2.0
